0, 0, 36, 12, -1, -1, -1, -1
1, 0.000231, 8, 12, -1, -1, -1, -1
2, 0.021603, 788, 3248, -1, -1, -1, -1
3, 0.26536, 1860, 9075, 2924.13, 25.0941, 0, -1
7, 0.083716, 1070, 4885, 61.0962, 5.16329, -1, -1
6, 0.017291, 6537, 32013, 61.2948, 4.58665, -1, -1
7, 0.185863, 2776, 12874, 61.0962, 4.03896, -1, -1
8, 0.08442, 2776, 12814, 35.1214, 3.93632, -1, -1
9, 0.035633, 2776, 12814, 13.1929, 3.75982, -1, -1
6, 0.011307, 5298, 24526, 13.1929, 3.94226, -1, -1
7, 0.117639, 2998, 13965, 5.83985, 3.78098, -1, -1
8, 0.066778, 2998, 13951, 5.83985, 3.75313, -1, -1
9, 0.032017, 2998, 13951, 5.43927, 3.68918, -1, -1
7, 0.023543, 2831, 13132, 5.33201, 3.67869, -1, -1
7, 0.082147, 1785, 7941, 9.95532, 3.90289, -1, -1
8, 0.02939, 1785, 7841, 9.95532, 3.74433, -1, -1
7, 0.015254, 1735, 7561, 9.95532, 3.77501, -1, -1
8, 0.021653, 1735, 7555, 9.95532, 3.75906, -1, -1
7, 0.003711, 1733, 7545, 9.95532, 3.75875, -1, -1
8, 0.02061, 1733, 7545, 9.95532, 3.75837, -1, -1
4, 0.833649, 1733, 7545, 9.95532, 3.75837, -1, -1
5, 0.022207, 865, 3499, 7.51694, 3.72797, -1, -1
-1, 1.14305, 865, 3499, 7.51694, 3.72797, 0, 23
